"DIFF","TOF","AGE","R7","R8","R17","R22","R32"
"1",1,50,0.613,0.1996,0.0425,0.8637,0.2882
"0",3,40,0.856,0.8797,0.0599,0.6241,0.0917
"0",3,61,0.396,0.08729,0.0748,0.3028,0.3447
"0",3,49,0.665,0.3947,0.11,0.7716,0.2397
"0",3,47,0.565,0.1044,0.0754,0.3295,0.2094
"0",3,41,0.531,0.7228,0.0395,0.6825,0.1408
"0",2,59,0.725,0.3523,0.114,0.1904,0.25
"1",3,40,0.732,0.5024,0.066,0.4939,0.2449
"0",1,65,0.0678,0.8164,0.0365,0.231,0.2509
"0",3,47,0.665,0.6503,0.0884,0.2852,0.1179
"0",2,56,0.488,0.7719,0.0757,0.1207,0.0968
"0",3,50,0.49,0.4604,0.104,0.3529,0.2248
"0",3,36,0.164,0.2877,0.0701,0.171,0.0843
"0",3,42,0.29,0.05957,0.0481,0.6248,0.2941
"0",3,47,1.265,0.646,0.098,0.8205,0.08195
"0",3,40,0.529,0.261,0.1,0.2996,0.2038
"0",1,54,1.043,0.4563,0.124,0.09821,0.06794
"0",1,48,0.601,0.6166,0.0435,0.3369,0.2446
"1",1,54,0.643,0.6319,0.0702,0.2242,0.3623
"1",2,33,0.275,0.2474,0.0215,0.8134,0.2205
"0",1,39,2.557,0.7095,0.106,0.3168,-0.0979
"1",3,59,0.12,0.04217,0.0411,1.0354,0.2787
"1",2,28,0.315,0.04883,0.033,0.2604,0.2594
"1",5,28,0.298,0.3831,0.0462,0.4758,0.3336
"0",2,55,0.982,0.4192,0.1,0.3012,0.08178
"0",2,49,2.557,0.5574,0.109,0.4985,-0.0979
"0",2,32,0.882,0.09349,0.0787,0.6943,0.4293
"0",3,52,0.449,0.5495,0.0958,0.4387,0.1388
"0",3,44,0.663,0.04788,0.0672,0.7598,0.2318
"1",2,33,0.224,0.2254,0.0371,0.5254,0.4381
"0",1,44,0.103,0.06335,0.0772,1.1342,0.1956
"1",5,45,0.498,0.06315,0.0439,0.2567,0.4505
"1",3,40,0.623,0.6278,0.0759,1.199,0.4313
"1",1,49,0.835,0.3076,0.0622,0.415,0.3582
"1",3,49,0.169,0.3423,0.0651,0.2096,0.2923
"0",1,55,0.339,0.3832,0.0475,0.5592,0.1268
"0",3,30,1.089,0.05423,0.0439,0.8902,0.2811
"0",3,42,0.0721,0.2267,0.099,1.8534,0.3007
"0",2,54,0.578,0.6234,0.0608,1.0154,0.1499
"1",1,59,0.101,1.8494,0.124,0.6224,0.1305
"1",5,32,0.707,0.04217,0.0641,0.6576,0.4505
"1",2,53,0.344,0.6998,0.0449,0.3365,0.384
"0",1,44,1.01,0.1073,0.044,1.0392,0.2328
"1",2,62,0.0886,0.4329,0.0493,0.1859,0.3625
"1",2,45,0.416,0.255,0.0769,1.0005,0.2263
"1",3,40,0.254,0.9158,0.0758,1.5371,0.2944
"1",1,39,0.884,0.3305,0.0429,0.5014,0.2505
"1",1,45,0.359,0.8797,0.0906,0.09821,0.3137
"1",3,40,0.227,0.1527,0.114,0.308,0.4201
"0",3,43,0.92,0.7598,0.0662,0.4244,0.2903
"1",2,48,0.553,0.2844,0.0552,0.7355,0.3606
"0",3,46,1.458,0.8797,0.0836,0.3448,0.07057
"0",3,37,0.994,0.1888,0.0727,0.3299,0.1099
"0",5,32,0.626,0.06409,0.0463,0.3262,0.1446
"1",3,48,0.723,0.691,0.0594,1.1711,0.3627
"0",3,34,1.494,0.04883,0.0497,0.4679,0.1366
"1",1,35,1.241,0.6117,0.0651,0.2552,0.3207
"1",3,37,0.503,0.1791,0.0604,0.6184,0.2992
"1",4,33,1.241,0.8797,0.0296,0.3873,0.402
"0",1,49,0.414,0.187,0.0929,0.3945,0.1966
"1",1,61,0.0695,0.1973,0.0202,0.6902,0.3953
"1",1,52,0.0695,0.08641,0.0449,0.5263,0.3178
"1",1,49,0.904,0.1789,0.0448,0.3328,0.3947
"0",3,31,0.817,0.1905,0.0786,0.4033,0.2014
"0",3,37,1.151,0.6427,0.0562,0.6155,0.1285
"1",3,54,0.322,0.06307,0.0755,0.3968,0.3859
"1",3,43,0.335,0.1118,0.0691,0.5215,0.386
"1",3,45,0.0851,0.1406,0.0303,1.5371,0.2814
"1",3,55,0.201,0.2771,0.0377,0.8755,0.2002
"1",1,50,0.762,0.06485,0.106,0.9795,0.3404
"0",2,34,0.743,0.318,0.053,0.301,0.186
"0",3,31,0.841,0.1174,0.114,0.4644,0.1217
"0",3,44,0.793,0.1044,0.0759,0.09821,-0.0979
"1",1,40,0.527,0.4538,0.104,0.3938,0.392
"0",3,38,0.775,0.3167,0.0685,0.2925,0.2511
"0",5,32,0.978,0.6027,0.104,0.3305,0.09578
"0",3,47,0.909,0.1059,0.094,0.8297,0.07789
"1",1,40,0.588,0.2295,0.0918,0.8628,0.4022
"0",3,29,1.19,0.1412,0.087,0.2839,0.04425
"1",2,47,0.291,0.6263,0.0496,1.3258,0.3243
"1",1,39,0.521,0.4277,0.0392,2.3547,0.3555
"1",3,44,0.337,0.3839,0.102,1.0276,0.2982
"1",5,30,0.886,0.4093,0.03,0.09574,0.3868
"1",3,53,0.161,0.7691,0.0809,0.4235,0.4475
"1",1,32,0.866,0.6284,0.059,0.5327,0.3942
"0",2,39,1.366,0.1339,0.0649,0.1496,0.0404
"0",1,36,0.991,0.4595,0.107,1,0.1678
"1",3,53,0.373,0.1853,0.0695,0.7542,0.3653
"1",2,45,0.365,0.1267,0.0675,0.3371,0.2713
"1",4,49,0.263,0.6082,0.0879,1.297,0.3031
"0",2,47,0.894,0.07675,0.0799,0.1574,0.1616
"1",2,51,0.397,0.2314,0.0349,0.5081,0.3314
"1",3,49,0.507,0.7512,0.0947,0.09821,0.273
"1",2,35,0.303,0.5907,0.0378,0.3632,0.4601
"0",4,45,0.283,0.8797,0.0795,1.5371,0.1328
"0",4,53,0.476,0.1335,0.0202,1.4966,0.1334
"0",1,46,1.002,0.4221,0.114,0.4296,0.3134
